start_datetime,duration,activity,message,tags
2025-02-04 15:00:20.049983,2:37:21.279290,,Added support for forward UMI regex pattern searching,
2025-02-05 11:59:26.523626,5:23:01.779687,,Expanding config variable & creating tests for them,
2025-02-13 14:30:15.021924,3:00:21.930552,,Continuing work on CLI & configuration file via adding tests and read functions respectively,
2025-02-17 14:38:57.080102,2:22:18.653589,,Worked on creating Search module and test,
2025-02-18 15:06:51.433566,2:35:59.890453,,added regex compile objects to search module,
2025-02-19 12:42:57.028208,1:27:23.207899,,Created read module and test for fastq paired reads,
2025-02-20 15:11:42.386687,"4 days, 23:57:47.317697",updated config file so that it can do specific searches on 1st and 2nd read or both reads; updated test for config file; started test package so that we do not have to repeat code, 23:57:47.317697,
2025-02-25 15:00:00,2:43:54.073356,,To search file added function get_capture_from_read and updated it; updated test for this; updated a comment on config file,
2025-02-26 14:28:18.062292,2:15:33.667890,,Search function is beginning to connect names to search patterns,
2025-02-27 15:00:00,1:30:00,,updated search file to create dict; add key values; ran test for read_fastq file,
2025-02-28 14:30:00,2:13:18.979727,,updated search file; get_capture_from_read function; collected search results from named capture groups,
2025-03-04 15:00:08.393925,2:18:00,,capturing sequences and writing to csv- Great job!,
2025-03-05 15:00:00,2:02:39.006780,, Adding support for read2 via incoporating top search file,
2025-03-06 15:12:43.485972,1:47:16.514028,,updated topsearch to include read2 and single reads,
2025-03-07 17:00:48.312558,1:32:40.576578,,Processing read2,
2025-03-11 15:05:20.046297,1:33:31.425058,,Added second read sequences,
2025-03-12 13:17:06.235981,2:49:26.527999,,Creating top level run function,
2025-03-17 12:58:18.683897,"1 day, 4:00:51.820338",troubleshooting grna_extraction test, 4:00:51.820338,
2025-05-06 15:00:00,"1 day, 18:15:59.282193",,troubleshoot tests,
